vendor_id,pickup_at,dropoff_at,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,cbd_congestion_fee
"Curb Mobility, LLC",2025-01-27T22:32:22Z,2025-01-27T22:42:06Z,,2.12,Unknown Ratecode,,Manhattan (Midtown South),Manhattan (Lenox Hill East),Flex Fare trip,12.98,0.0,0.5,0.0,0.0,1.0,17.73,,,0.75
"Curb Mobility, LLC",2025-01-28T15:44:03Z,2025-01-28T15:48:35Z,1.0,0.69,Standard rate,N,Manhattan (Garment District),Manhattan (East Chelsea),Credit card,6.5,0.0,0.5,2.25,0.0,1.0,13.5,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-20T21:25:25Z,2025-01-20T21:32:07Z,1.0,1.0,Standard rate,N,Manhattan (SoHo),Manhattan (West Village),Credit card,8.6,4.25,0.5,2.85,0.0,1.0,17.2,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-08T05:47:52Z,2025-01-08T05:50:03Z,1.0,1.1,Standard rate,N,Manhattan (Yorkville East),Manhattan (Lenox Hill East),Credit card,6.5,3.5,0.5,2.3,0.0,1.0,13.8,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-30T18:41:37Z,2025-01-30T18:50:03Z,2.0,1.01,Standard rate,N,Manhattan (Midtown East),Manhattan (Upper East Side South),Cash,9.3,2.5,0.5,0.0,0.0,1.0,16.55,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-07T10:35:32Z,2025-01-07T10:54:22Z,1.0,1.75,Standard rate,N,Manhattan (Upper West Side South),Manhattan (Times Sq/Theatre District),Credit card,16.3,0.0,0.5,1.05,0.0,1.0,22.1,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-26T01:28:17Z,2025-01-26T01:34:24Z,2.0,1.45,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Upper West Side North),Credit card,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-21T07:43:05Z,2025-01-21T07:50:37Z,1.0,1.0,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (Lenox Hill East),Credit card,8.6,0.0,0.5,2.52,0.0,1.0,15.12,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-03T11:28:07Z,2025-01-03T11:43:31Z,1.0,1.33,Standard rate,N,Manhattan (Penn Station/Madison Sq West),Manhattan (Times Sq/Theatre District),No charge,14.2,0.0,0.5,0.0,0.0,1.0,18.2,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-07T18:23:42Z,2025-01-07T19:15:09Z,1.0,20.68,JFK,N,Queens (JFK Airport),Manhattan (TriBeCa/Civic Center),Credit card,70.0,5.0,0.5,15.95,0.0,1.0,97.45,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-25T11:00:39Z,2025-01-25T11:14:36Z,1.0,3.13,Standard rate,N,Manhattan (Midtown East),Queens (Sunnyside),Credit card,17.7,0.0,0.5,4.49,0.0,1.0,26.94,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-09T08:23:26Z,2025-01-09T08:46:51Z,1.0,1.9,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Lenox Hill East),Cash,18.4,2.5,0.5,0.0,0.0,1.0,22.4,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-22T22:37:51Z,2025-01-22T22:52:49Z,2.0,3.1,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Yorkville West),Credit card,17.0,1.0,0.5,4.55,0.0,1.0,27.3,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-12T14:11:10Z,2025-01-12T14:23:45Z,1.0,1.54,Standard rate,N,Manhattan (Lenox Hill West),Manhattan (Upper East Side North),Invalid Payment (Dispute/Test),12.8,0.0,0.5,1.76,0.0,1.0,19.31,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-13T19:38:51Z,2025-01-13T19:45:25Z,1.0,1.12,Standard rate,N,Manhattan (Gramercy),Manhattan (Murray Hill),Credit card,8.6,2.5,0.5,0.5,0.0,1.0,16.35,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-04T16:55:44Z,2025-01-04T17:31:39Z,1.0,15.91,Standard rate,N,Queens (JFK Airport),Brooklyn (Brighton Beach),Cash,61.1,0.0,0.5,0.0,0.0,1.0,64.35,0.0,1.75,0.0
"Curb Mobility, LLC",2025-01-16T18:57:34Z,2025-01-16T19:18:14Z,,0.0,Unknown Ratecode,,Manhattan (Midtown South),Manhattan (Times Sq/Theatre District),Flex Fare trip,17.69,0.0,0.5,0.0,0.0,1.0,22.44,,,0.75
"Creative Mobile Technologies, LLC",2025-01-09T17:42:30Z,2025-01-09T18:02:36Z,1.0,2.6,Standard rate,N,Manhattan (Upper West Side South),Unknown (nan),Credit card,19.8,5.75,0.5,5.4,0.0,1.0,32.45,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-27T13:41:16Z,2025-01-27T13:48:10Z,1.0,0.88,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Upper East Side South),Credit card,7.9,0.0,0.5,2.0,0.0,1.0,14.65,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-31T21:35:05Z,2025-01-31T21:45:09Z,2.0,1.84,Standard rate,N,Manhattan (Murray Hill),Manhattan (Lenox Hill West),Credit card,11.4,1.0,0.5,3.43,0.0,1.0,20.58,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-19T03:59:02Z,2025-01-19T04:03:46Z,4.0,1.07,Standard rate,N,Manhattan (East Village),Manhattan (Gramercy),Cash,7.2,1.0,0.5,0.0,0.0,1.0,12.95,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-31T18:47:15Z,2025-01-31T18:58:14Z,1.0,1.43,Standard rate,N,Manhattan (SoHo),Manhattan (Flatiron),Credit card,11.4,2.5,0.5,3.73,0.0,1.0,22.38,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-29T17:06:26Z,2025-01-29T17:41:09Z,1.0,9.7,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Upper East Side South),Credit card,43.6,7.5,0.5,12.41,6.94,1.0,76.2,2.5,1.75,0.0
"Curb Mobility, LLC",2025-01-08T16:11:30Z,2025-01-08T16:48:21Z,2.0,10.36,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Lincoln Square East),Credit card,46.4,7.5,0.5,16.4,6.94,1.0,83.74,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-07T06:23:26Z,2025-01-07T06:32:43Z,,4.11,Unknown Ratecode,,Manhattan (Kips Bay),Manhattan (East Harlem South),Flex Fare trip,16.36,0.0,0.5,0.0,0.0,1.0,21.11,,,0.75
"Curb Mobility, LLC",2025-01-14T15:28:17Z,2025-01-14T15:53:55Z,1.0,3.83,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (East Village),Credit card,26.1,0.0,0.5,7.71,0.0,1.0,38.56,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-21T09:42:04Z,2025-01-21T09:48:42Z,1.0,0.98,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Upper East Side South),Credit card,8.6,0.0,0.5,2.0,0.0,1.0,14.6,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-18T13:13:01Z,2025-01-18T13:18:24Z,1.0,1.6,Standard rate,N,Manhattan (Lenox Hill West),Manhattan (Sutton Place/Turtle Bay North),Credit card,8.6,3.25,0.5,3.35,0.0,1.0,16.7,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-07T17:42:25Z,2025-01-07T17:48:54Z,1.0,0.7,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (Upper East Side South),Credit card,6.5,5.0,0.5,2.6,0.0,1.0,15.6,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-06T15:46:54Z,2025-01-06T16:57:11Z,1.0,18.62,JFK,N,Manhattan (Lincoln Square East),Queens (JFK Airport),Credit card,70.0,0.0,0.5,14.8,0.0,1.0,88.8,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-06T15:30:47Z,2025-01-06T15:40:52Z,2.0,1.17,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Lenox Hill East),Credit card,10.7,0.0,0.5,2.94,0.0,1.0,17.64,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-31T18:30:15Z,2025-01-31T18:37:06Z,1.0,0.78,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Midtown North),Credit card,7.9,2.5,0.5,3.03,0.0,1.0,18.18,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-13T15:51:46Z,2025-01-13T16:10:05Z,1.0,2.26,Standard rate,N,Manhattan (East Chelsea),Manhattan (East Village),Credit card,-15.0,0.0,0.5,5.44,0.0,1.0,-18.5,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-11T02:20:59Z,2025-01-11T02:29:35Z,1.0,3.05,Standard rate,N,Manhattan (Gramercy),Manhattan (Yorkville West),Credit card,14.2,1.0,0.5,3.99,0.0,1.0,23.94,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-01T10:55:59Z,2025-01-01T11:01:57Z,1.0,1.49,Standard rate,N,Manhattan (East Village),Manhattan (SoHo),Credit card,9.3,0.0,0.5,3.33,0.0,1.0,16.63,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-10T17:24:15Z,2025-01-10T17:37:23Z,1.0,1.95,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Times Sq/Theatre District),Credit card,13.5,2.5,0.5,4.15,0.0,1.0,24.9,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-04T02:42:37Z,2025-01-04T03:00:38Z,2.0,9.04,Standard rate,N,Manhattan (East Village),Manhattan (Central Harlem),Credit card,37.3,1.0,0.5,8.46,0.0,1.0,50.76,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-21T14:11:22Z,2025-01-21T14:27:27Z,,2.31,Unknown Ratecode,,Manhattan (Midtown Center),Manhattan (East Chelsea),Flex Fare trip,16.54,0.0,0.5,0.0,0.0,1.0,21.29,,,0.75
"Creative Mobile Technologies, LLC",2025-01-16T22:51:14Z,2025-01-16T23:08:56Z,,3.9,Unknown Ratecode,,Manhattan (West Village),Manhattan (Lincoln Square West),Flex Fare trip,22.25,0.0,0.5,0.0,0.0,1.0,27.0,,,0.75
"Curb Mobility, LLC",2025-01-17T17:16:16Z,2025-01-17T17:27:12Z,2.0,1.69,Standard rate,N,Manhattan (East Chelsea),Manhattan (Midtown South),Credit card,11.4,2.5,0.5,3.73,0.0,1.0,22.38,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-24T03:16:28Z,2025-01-24T03:35:01Z,1.0,5.84,Standard rate,N,Manhattan (West Village),Manhattan (Manhattan Valley),Credit card,26.1,1.0,0.5,6.37,0.0,1.0,38.22,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-22T19:39:27Z,2025-01-22T19:46:01Z,1.0,0.89,Standard rate,N,Manhattan (Clinton East),Manhattan (Clinton East),Credit card,7.9,2.5,0.5,1.5,0.0,1.0,16.65,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-16T13:12:32Z,2025-01-16T13:28:24Z,1.0,1.79,Standard rate,N,Manhattan (Bloomingdale),Manhattan (East Harlem South),Credit card,15.6,0.0,0.5,2.0,0.0,1.0,19.1,0.0,0.0,0.0
"Curb Mobility, LLC",2025-01-15T13:03:45Z,2025-01-15T13:30:41Z,1.0,11.25,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Midtown East),Credit card,46.4,5.0,0.5,12.47,6.94,1.0,77.31,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-27T20:35:12Z,2025-01-27T20:46:29Z,1.0,3.01,Standard rate,N,Manhattan (West Chelsea/Hudson Yards),Manhattan (Upper West Side South),Credit card,14.9,1.0,0.5,4.13,0.0,1.0,24.78,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-29T11:43:17Z,2025-01-29T11:55:16Z,1.0,1.27,Standard rate,N,Manhattan (Yorkville West),Manhattan (Upper East Side South),Credit card,12.1,0.0,0.5,3.22,0.0,1.0,19.32,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-11T19:43:09Z,2025-01-11T19:49:47Z,1.0,0.57,Standard rate,N,Manhattan (Greenwich Village South),Manhattan (West Village),Credit card,7.2,0.0,0.5,1.2,0.0,1.0,13.15,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-06T02:24:01Z,2025-01-06T02:39:52Z,1.0,9.04,Standard rate,N,Queens (LaGuardia Airport),Manhattan (Upper West Side North),Credit card,35.2,6.0,0.5,6.0,6.94,1.0,57.39,0.0,1.75,0.0
"Curb Mobility, LLC",2025-01-01T18:08:20Z,2025-01-01T18:26:09Z,1.0,3.28,Standard rate,N,Manhattan (East Chelsea),Manhattan (Two Bridges/Seward Park),Credit card,19.1,0.0,0.5,4.62,0.0,1.0,27.72,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-08T21:46:07Z,2025-01-08T22:05:16Z,1.0,4.3,Standard rate,N,Manhattan (West Village),Manhattan (Upper West Side South),Credit card,20.5,4.25,0.5,5.25,0.0,1.0,31.5,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-13T18:34:53Z,2025-01-13T18:41:06Z,1.0,0.82,Standard rate,N,Manhattan (Greenwich Village North),Manhattan (Flatiron),Cash,7.9,2.5,0.5,0.0,0.0,1.0,15.15,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-29T10:56:47Z,2025-01-29T11:17:42Z,1.0,5.19,Standard rate,N,Manhattan (Upper East Side North),Manhattan (Alphabet City),Credit card,26.1,0.0,0.5,6.17,0.0,1.0,37.02,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-21T17:22:26Z,2025-01-21T17:34:33Z,1.0,1.12,Standard rate,N,Manhattan (Midtown East),Manhattan (Lenox Hill East),Credit card,11.4,2.5,0.5,2.8,0.0,1.0,21.45,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-13T08:52:49Z,2025-01-13T09:02:22Z,1.0,1.8,Standard rate,N,Manhattan (Clinton East),Manhattan (Upper West Side South),Credit card,10.0,3.25,0.5,2.95,0.0,1.0,17.7,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-09T21:48:23Z,2025-01-09T22:01:39Z,1.0,1.48,Standard rate,N,Manhattan (Midtown East),Manhattan (Garment District),Credit card,13.5,1.0,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-16T10:28:37Z,2025-01-16T10:35:18Z,1.0,1.16,Standard rate,N,Manhattan (Lincoln Square East),Manhattan (Upper West Side South),Credit card,8.6,0.0,0.5,3.15,0.0,1.0,15.75,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-11T17:27:50Z,2025-01-11T17:37:41Z,1.0,0.93,Standard rate,N,Manhattan (Garment District),Manhattan (Clinton West),Credit card,10.7,0.0,0.5,1.0,0.0,1.0,16.45,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-15T15:36:40Z,2025-01-15T16:04:00Z,,4.11,Unknown Ratecode,,Manhattan (Financial District North),Manhattan (Murray Hill),Flex Fare trip,27.59,0.0,0.5,0.0,0.0,1.0,32.34,,,0.75
"Curb Mobility, LLC",2025-01-07T12:03:17Z,2025-01-07T12:16:03Z,1.0,0.79,Standard rate,N,Manhattan (Murray Hill),Manhattan (Times Sq/Theatre District),Credit card,12.1,0.0,0.5,3.37,0.0,1.0,20.22,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-13T16:47:59Z,2025-01-13T17:02:46Z,2.0,1.93,Standard rate,N,Manhattan (West Chelsea/Hudson Yards),Manhattan (Flatiron),Credit card,14.2,2.5,0.5,4.29,0.0,1.0,25.74,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-22T14:30:43Z,2025-01-22T14:43:06Z,,1.57,Unknown Ratecode,,Manhattan (Stuy Town/Peter Cooper Village),Manhattan (Midtown South),Flex Fare trip,11.31,0.0,0.5,0.0,0.0,1.0,16.06,,,0.75
"Curb Mobility, LLC",2025-01-19T19:27:15Z,2025-01-19T19:44:50Z,,2.24,Unknown Ratecode,,Brooklyn (Brooklyn Heights),Manhattan (TriBeCa/Civic Center),Flex Fare trip,24.68,0.0,0.5,0.0,0.0,1.0,29.43,,,0.75
"Curb Mobility, LLC",2025-01-31T18:52:14Z,2025-01-31T19:11:18Z,2.0,2.63,Standard rate,N,Manhattan (Greenwich Village South),Manhattan (East Chelsea),Credit card,18.4,2.5,0.5,2.0,0.0,1.0,27.65,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-03T15:30:59Z,2025-01-03T16:24:10Z,1.0,11.13,Standard rate,N,Queens (East Elmhurst),Manhattan (Times Sq/Theatre District),Credit card,58.3,5.0,0.5,15.2,6.94,1.0,91.19,2.5,1.75,0.0
"Curb Mobility, LLC",2025-01-26T00:10:42Z,2025-01-26T00:24:15Z,,2.08,Unknown Ratecode,,Brooklyn (Crown Heights North),Brooklyn (Downtown Brooklyn/MetroTech),Flex Fare trip,15.12,0.0,0.5,0.0,0.0,1.0,16.62,,,0.0
"Curb Mobility, LLC",2025-01-20T00:19:08Z,2025-01-20T00:25:42Z,1.0,1.6,Standard rate,N,Manhattan (West Village),Manhattan (East Chelsea),Credit card,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-17T13:39:10Z,2025-01-17T13:54:52Z,1.0,2.1,Standard rate,N,Manhattan (Penn Station/Madison Sq West),Manhattan (Greenwich Village South),Credit card,15.6,3.25,0.5,4.07,0.0,1.0,24.42,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-28T13:28:04Z,2025-01-28T14:12:22Z,1.0,21.63,JFK,N,Queens (JFK Airport),Manhattan (World Trade Center),Credit card,70.0,0.0,0.5,16.69,6.94,1.0,100.13,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-01T13:02:45Z,2025-01-01T13:09:56Z,3.0,1.91,Standard rate,N,Manhattan (Flatiron),Manhattan (SoHo),Cash,10.7,0.0,0.5,0.0,0.0,1.0,14.7,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-13T16:46:44Z,2025-01-13T17:03:59Z,1.0,5.05,Standard rate,N,Manhattan (Lenox Hill East),Manhattan (Two Bridges/Seward Park),Credit card,24.0,2.5,0.5,2.0,0.0,1.0,33.25,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-29T13:02:33Z,2025-01-29T13:11:38Z,1.0,0.51,Standard rate,N,Manhattan (Midtown East),Manhattan (Midtown Center),Credit card,9.3,0.0,0.5,3.51,0.0,1.0,17.56,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-08T08:03:27Z,2025-01-08T08:14:22Z,,1.51,Unknown Ratecode,,Manhattan (Greenwich Village North),Manhattan (Kips Bay),Flex Fare trip,15.23,0.0,0.5,0.0,0.0,1.0,19.98,,,0.75
"Curb Mobility, LLC",2025-01-11T20:28:14Z,2025-01-12T18:46:37Z,1.0,0.78,Standard rate,N,Manhattan (Garment District),Manhattan (Times Sq/Theatre District),Cash,11.4,1.0,0.5,0.0,0.0,1.0,17.15,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-02T19:32:28Z,2025-01-02T19:43:06Z,1.0,2.0,Standard rate,N,Manhattan (UN/Turtle Bay South),Manhattan (Greenwich Village North),Cash,11.4,5.0,0.5,0.0,0.0,1.0,17.9,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-03T03:16:00Z,2025-01-03T03:47:28Z,1.0,13.52,Standard rate,N,Manhattan (Lower East Side),Brooklyn (Brighton Beach),Credit card,54.1,1.0,0.5,5.0,0.0,1.0,64.1,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-14T12:59:46Z,2025-01-14T13:40:46Z,1.0,19.0,JFK,N,Queens (JFK Airport),Manhattan (Clinton East),Credit card,70.0,0.0,0.5,16.34,6.94,1.0,99.78,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-19T16:10:29Z,2025-01-19T16:29:40Z,3.0,2.78,Standard rate,N,Manhattan (Garment District),Manhattan (SoHo),Credit card,19.1,0.0,0.5,4.0,0.0,1.0,27.85,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-11T21:25:28Z,2025-01-11T21:31:39Z,1.0,0.62,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Midtown North),Cash,7.2,1.0,0.5,0.0,0.0,1.0,12.95,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-22T18:55:41Z,2025-01-22T19:07:15Z,1.0,1.7,Standard rate,N,Manhattan (Midtown Center),Manhattan (Lincoln Square East),Credit card,12.8,5.75,0.5,3.0,0.0,1.0,23.05,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-09T23:46:14Z,2025-01-09T23:58:00Z,1.0,2.9,Standard rate,N,Manhattan (SoHo),Brooklyn (Brooklyn Heights),Credit card,14.9,4.25,0.5,6.15,0.0,1.0,26.8,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-16T18:15:15Z,2025-01-16T18:29:14Z,2.0,1.73,Standard rate,N,Manhattan (Midtown South),Manhattan (Greenwich Village North),Credit card,14.2,2.5,0.5,4.29,0.0,1.0,25.74,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-04T18:06:43Z,2025-01-04T18:12:44Z,1.0,0.75,Standard rate,N,Manhattan (Yorkville West),Manhattan (Yorkville West),Credit card,7.2,0.0,0.5,2.24,0.0,1.0,13.44,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-04T23:04:37Z,2025-01-04T23:08:21Z,1.0,0.44,Standard rate,N,Manhattan (Midtown East),Manhattan (Midtown East),Credit card,5.8,1.0,0.5,0.0,0.0,1.0,10.8,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-11T17:24:09Z,2025-01-11T17:40:48Z,1.0,3.7,Standard rate,N,Manhattan (UN/Turtle Bay South),Manhattan (Upper West Side North),Cash,19.1,0.0,0.5,0.0,0.0,1.0,23.85,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-24T18:27:19Z,2025-01-24T18:42:22Z,2.0,1.13,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Midtown Center),Credit card,13.5,2.5,0.5,4.15,0.0,1.0,24.9,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-15T19:39:40Z,2025-01-15T19:54:16Z,1.0,1.98,Standard rate,N,Manhattan (UN/Turtle Bay South),Manhattan (East Village),Credit card,14.2,2.5,0.5,3.0,0.0,1.0,24.45,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-30T17:43:07Z,2025-01-30T17:55:27Z,,0.01,Unknown Ratecode,,Manhattan (Lenox Hill West),Manhattan (Upper West Side South),Flex Fare trip,13.01,0.0,0.5,0.0,0.0,1.0,17.01,,,0.0
"Curb Mobility, LLC",2025-01-01T19:42:13Z,2025-01-01T19:47:16Z,1.0,0.79,Standard rate,N,Manhattan (East Chelsea),Manhattan (Penn Station/Madison Sq West),Credit card,6.5,0.0,0.5,2.1,0.0,1.0,12.6,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-15T08:30:31Z,2025-01-15T08:50:41Z,1.0,2.38,Standard rate,N,Manhattan (Garment District),Manhattan (Upper East Side South),Credit card,18.4,0.0,0.5,2.0,0.0,1.0,25.15,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-26T19:00:49Z,2025-01-26T19:01:11Z,1.0,0.0,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Upper East Side South),Dispute,-3.0,0.0,-0.5,0.0,0.0,-1.0,-7.0,-2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-18T17:09:24Z,2025-01-18T17:14:28Z,2.0,0.86,Standard rate,N,Manhattan (Lincoln Square West),Manhattan (Clinton East),Credit card,7.2,0.0,0.5,2.39,0.0,1.0,14.34,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-09T22:53:26Z,2025-01-09T22:57:50Z,2.0,1.08,Standard rate,N,Manhattan (Kips Bay),Manhattan (UN/Turtle Bay South),Credit card,7.2,1.0,0.5,2.59,0.0,1.0,15.54,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-16T07:46:21Z,2025-01-16T07:56:43Z,1.0,1.3,Standard rate,N,Manhattan (Union Sq),Manhattan (Kips Bay),Credit card,10.0,3.25,0.5,2.25,0.0,1.0,17.0,2.5,0.0,0.75
"Creative Mobile Technologies, LLC",2025-01-03T18:23:59Z,2025-01-03T19:08:48Z,1.0,17.7,Standard rate,N,Queens (East Elmhurst),Manhattan (Upper West Side North),Credit card,71.6,5.0,0.5,17.0,6.94,1.0,102.04,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-21T06:58:16Z,2025-01-21T07:20:05Z,,4.33,Unknown Ratecode,,Queens (Astoria),Manhattan (Garment District),Flex Fare trip,-11.69,0.0,0.5,0.0,6.94,1.0,3.92,,,0.75
"Curb Mobility, LLC",2025-01-12T11:38:46Z,2025-01-12T11:45:00Z,2.0,3.91,Negotiated fare,N,Queens (South Ozone Park),Queens (JFK Airport),Credit card,84.0,0.0,0.0,10.0,0.0,1.0,95.0,0.0,0.0,0.0
"Curb Mobility, LLC",2025-01-15T22:13:23Z,2025-01-15T22:24:20Z,2.0,1.76,Standard rate,N,Manhattan (Upper East Side South),Manhattan (Lincoln Square West),Cash,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0,0.0
"Curb Mobility, LLC",2025-01-23T14:12:08Z,2025-01-23T14:28:07Z,1.0,1.87,Standard rate,N,Manhattan (East Village),Manhattan (Penn Station/Madison Sq West),Credit card,14.9,0.0,0.5,3.93,0.0,1.0,23.58,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-08T16:03:44Z,2025-01-08T16:13:42Z,1.0,1.09,Standard rate,N,Manhattan (Kips Bay),Manhattan (Garment District),Cash,10.7,2.5,0.5,0.0,0.0,1.0,17.95,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-22T11:34:45Z,2025-01-22T11:56:14Z,1.0,2.51,Standard rate,N,Manhattan (Times Sq/Theatre District),Manhattan (Upper East Side North),Credit card,20.5,0.0,0.5,2.5,0.0,1.0,27.75,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-14T10:10:28Z,2025-01-14T10:22:52Z,1.0,1.63,Standard rate,N,Manhattan (Hudson Sq),Manhattan (Union Sq),Credit card,12.1,0.0,0.5,2.02,0.0,1.0,18.87,2.5,0.0,0.75
"Curb Mobility, LLC",2025-01-19T01:20:12Z,2025-01-19T01:34:27Z,,1.77,Unknown Ratecode,,Manhattan (Union Sq),Manhattan (East Village),Flex Fare trip,-4.75,0.0,0.5,0.0,0.0,1.0,2.3,,,0.75
"Curb Mobility, LLC",2025-01-30T15:07:24Z,2025-01-30T15:18:41Z,1.0,1.3,Standard rate,N,Manhattan (Central Park),Manhattan (Upper East Side North),Credit card,11.4,0.0,0.5,3.08,0.0,1.0,18.48,2.5,0.0,0.0
"Creative Mobile Technologies, LLC",2025-01-17T14:45:19Z,2025-01-17T16:03:56Z,1.0,15.2,JFK,N,Queens (JFK Airport),Manhattan (TriBeCa/Civic Center),Credit card,70.0,5.0,0.5,2.0,0.0,1.0,78.5,2.5,1.75,0.75
"Curb Mobility, LLC",2025-01-22T13:37:13Z,2025-01-22T13:50:34Z,1.0,0.98,Standard rate,N,Manhattan (Clinton East),Manhattan (Murray Hill),Credit card,12.8,0.0,0.5,4.39,0.0,1.0,21.94,2.5,0.0,0.75
